A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;11;3;C;1;1;7;;;;;;;;
2019;12;11;3;C;1;2;7;9672361;760;11051854;760;9482959;773;10851449;773
2019;12;11;3;C;1;3;7;;;;;;;;
2019;12;11;3;C;1;4;7;5627834;1583;7091902;1590;6300127;1789;7883425;1789
2019;12;11;3;C;1;5;7;;;;;;;;
2019;12;11;3;C;1;6;7;;;;;;;;
2019;12;11;3;C;1;7;7;;;;;;;;
2019;12;11;3;C;1;8;7;;;;;;;;
2019;12;11;3;C;1;9;7;;;;;;;;
2019;12;11;3;C;2;1;7;33694003;1158;35844728;1158;33600082;1152;35922827;1152
2019;12;11;3;C;2;2;7;25225110;2702;29603782;2743;24968650;2637;29258598;2672
2019;12;11;3;C;2;3;7;5684646;1152;7199937;1206;5685568;1158;7273878;1228
2019;12;11;3;C;2;4;7;22253620;3988;26724674;4020;22124086;4174;27078065;4278
2019;12;11;3;C;2;5;7;;;;;;;;
2019;12;11;3;C;2;6;7;;;;;;;;
2019;12;11;3;C;2;7;7;;;;;;;;
2019;12;11;3;C;2;8;7;43180566;7968;54537270;8333;42412544;7788;59727808;8788
2019;12;11;3;C;2;9;7;38104726;10508;50972650;11077;37792497;11086;52132581;12087
2019;12;12;3;H;1;1;1;2213423;189;2325773;189;2213423;189;2325773;189
2019;12;12;3;H;1;2;1;5123680;755;5464957;755;5123680;755;5464957;755
2019;12;12;3;H;1;3;1;1239732;377;1394036;377;1239732;377;1394036;377
2019;12;12;3;H;1;4;1;5584510;1703;6699070;1703;3917924;1183;4920627;1183
2019;12;12;3;H;1;5;1;;;;;;;;
2019;12;12;3;H;1;6;1;;;;;;;;
2019;12;12;3;H;1;7;1;;;;;;;;
2019;12;12;3;H;1;8;1;;;;;;;;
2019;12;12;3;H;1;9;1;;;;;;;;
2019;12;12;3;H;2;1;1;35455786;1512;39799940;1512;35573825;1512;39713302;1512
2019;12;12;3;H;2;2;1;27413420;4347;30010820;4347;27417629;4330;29725664;4330
2019;12;12;3;H;2;3;1;12085171;3024;14106997;3048;11907973;3024;13793086;3043
2019;12;12;3;H;2;4;1;34439253;8168;41135028;8193;34430307;8171;41182936;8201
2019;12;12;3;H;2;5;1;;;;;;;;
2019;12;12;3;H;2;6;1;;;;;;;;
2019;12;12;3;H;2;7;1;;;;;;;;
2019;12;12;3;H;2;8;1;527085834;90600;658681004;90848;557693217;91421;692610794;91642
2019;12;12;3;H;2;9;1;43620803;12220;55284042;12267;43126959;12205;54425225;12232
2019;12;13;3;C;1;1;1;;;;;;;;
2019;12;13;3;C;1;2;1;3650888;329;3765210;329;4188910;391;4315595;391
2019;12;13;3;C;1;3;1;1721698;391;1807909;391;966062;212;1030690;212
2019;12;13;3;C;1;4;1;;;;;;;;
