A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;10;1;Q;1;6;1;;;;;;;;
2019;5;10;1;Q;1;7;1;;;;;;;;
2019;5;10;1;Q;1;8;1;;;;;;;;
2019;5;10;1;Q;1;9;1;;;;;;;;
2019;5;10;1;Q;2;1;1;2204438;194;2285905;194;2210511;194;2291775;194
2019;5;10;1;Q;2;2;1;11468212;970;12043785;970;11441989;970;12016385;970
2019;5;10;1;Q;2;3;1;;;;;;;;
2019;5;10;1;Q;2;4;1;;;;;;;;
2019;5;10;1;Q;2;5;1;;;;;;;;
2019;5;10;1;Q;2;6;1;;;;;;;;
2019;5;10;1;Q;2;7;1;;;;;;;;
2019;5;10;1;Q;2;8;1;;;;;;;;
2019;5;10;1;Q;2;9;1;94798;40;100049;40;94798;40;100049;40
2019;5;11;3;C;1;1;7;;;;;;;;
2019;5;11;3;C;1;2;7;7810764;580;8902079;580;6848562;580;7806170;580
2019;5;11;3;C;1;3;7;;;;;;;;
2019;5;11;3;C;1;4;7;6245321;1692;8143147;1692;6387828;1724;7897257;1724
2019;5;11;3;C;1;5;7;;;;;;;;
2019;5;11;3;C;1;6;7;;;;;;;;
2019;5;11;3;C;1;7;7;;;;;;;;
2019;5;11;3;C;1;8;7;;;;;;;;
2019;5;11;3;C;1;9;7;;;;;;;;
2019;5;11;3;C;2;1;7;35343355;1158;37561830;1158;35343355;1158;37342031;1158
2019;5;11;3;C;2;2;7;27750982;2888;32212151;2888;27281859;2895;31355810;2910
2019;5;11;3;C;2;3;7;7392878;1544;9350385;1560;6696091;1351;8307034;1400
2019;5;11;3;C;2;4;7;28740024;5833;35201634;5833;29045875;5942;34387732;5942
2019;5;11;3;C;2;5;7;;;;;;;;
2019;5;11;3;C;2;6;7;;;;;;;;
2019;5;11;3;C;2;7;7;;;;;;;;
2019;5;11;3;C;2;8;7;48693172;10250;59951276;10282;48060938;9993;56804988;10028
2019;5;11;3;C;2;9;7;33573603;9022;43168288;9032;31806140;8836;38942899;8837
2019;5;12;3;H;1;1;1;2183208;189;2284008;189;2193168;189;2295389;189
2019;5;12;3;H;1;2;1;4893220;680;5157736;680;4892997;680;5157997;680
2019;5;12;3;H;1;3;1;1187101;365;1313799;365;1180359;363;1314770;363
2019;5;12;3;H;1;4;1;9208449;2511;10869765;2511;9176711;2510;10827454;2510
2019;5;12;3;H;1;5;1;;;;;;;;
2019;5;12;3;H;1;6;1;;;;;;;;
2019;5;12;3;H;1;7;1;;;;;;;;
2019;5;12;3;H;1;8;1;;;;;;;;
2019;5;12;3;H;1;9;1;;;;;;;;
2019;5;12;3;H;2;1;1;34049336;1210;38426857;1210;34110339;1269;38531662;1269
2019;5;12;3;H;2;2;1;27184427;4244;29417201;4244;26864934;4221;29097389;4221
2019;5;12;3;H;2;3;1;11523220;2801;13322841;2812;11655624;2800;13485098;2814
2019;5;12;3;H;2;4;1;34481904;8415;40688566;8452;34723808;8414;40623186;8436
2019;5;12;3;H;2;5;1;;;;;;;;
2019;5;12;3;H;2;6;1;;;;;;;;
2019;5;12;3;H;2;7;1;;;;;;;;
2019;5;12;3;H;2;8;1;535035762;89857;667498745;90071;538349669;90057;672890651;90255
2019;5;12;3;H;2;9;1;43463210;11895;55385532;11910;41561203;11645;52639643;11662
2019;5;13;3;C;1;1;1;;;;;;;;
2019;5;13;3;C;1;2;1;2494228;196;2579279;196;2494228;196;2578354;196
2019;5;13;3;C;1;3;1;1694585;391;1779541;391;1694585;391;1779601;391
2019;5;13;3;C;1;4;1;;;;;;;;
2019;5;13;3;C;1;5;1;;;;;;;;
2019;5;13;3;C;1;6;1;;;;;;;;
2019;5;13;3;C;1;7;1;8491764;3708;9044446;3719;7924168;3356;8404352;3364
2019;5;13;3;C;1;8;1;;;;;;;;
2019;5;13;3;C;1;9;1;;;;;;;;
2019;5;13;3;C;2;1;1;4875662;196;4981556;196;4875662;196;4981960;196
