A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;4;9;3;F;1;4;41;26065308;4397;30009766;4464;26587212;4126;30290401;4141
2019;4;9;3;F;1;5;41;0;0;0;0;;;;
2019;4;9;3;F;1;6;41;1606875;194;1707999;194;1606875;194;1707999;194
2019;4;9;3;F;1;7;41;41525933;7838;49671420;8043;38338841;6687;44857127;6687
2019;4;9;3;F;1;8;41;1348181;272;1916749;272;4230095;854;5103475;871
2019;4;9;3;F;1;9;41;16310312;3660;18920126;3660;14586307;3325;17223993;3342
2019;4;9;3;F;2;1;41;12919802;194;13185509;194;12919802;194;13186015;194
2019;4;9;3;F;2;2;41;1356834608;94566;1507134696;94676;1347742384;89855;1500290666;89979
2019;4;9;3;F;2;3;41;1228420140;143791;1410900685;143895;1315781031;143135;1508365695;143171
2019;4;9;3;F;2;4;41;128963813;18676;148941368;18917;115310073;18164;133915394;18299
2019;4;9;3;F;2;5;41;0;0;0;0;;;;
2019;4;9;3;F;2;6;41;2089250;194;2197202;194;2089250;194;2197202;194
2019;4;9;3;F;2;7;41;4726175908;1287681;5949070222;1290030;5111273853;1284748;6378750130;1286704
2019;4;9;3;F;2;8;41;674800720;135242;805523996;136058;707853782;136273;840794816;136495
2019;4;9;3;F;2;9;41;99623785;25104;121472302;25261;98188854;22892;119855581;23004
2019;4;10;1;Q;1;1;86;4697830;194;4845045;194;4697830;194;4845560;194
2019;4;10;1;Q;1;2;86;5344055;388;5574967;390;5493516;388;5701642;388
2019;4;10;1;Q;1;3;86;1917443;731;2049605;733;1941929;776;2066938;782
2019;4;10;1;Q;1;4;86;3972862;1164;4356760;1194;3978902;1164;4289350;1181
2019;4;10;1;Q;1;5;86;;;;;;;;
2019;4;10;1;Q;1;6;86;;;;;;;;
2019;4;10;1;Q;1;7;86;;;;;;;;
2019;4;10;1;Q;1;8;86;;;;;;;;
2019;4;10;1;Q;1;9;86;;;;;;;;
2019;4;10;1;Q;2;1;86;2198605;194;2279511;194;2204438;194;2285905;194
2019;4;10;1;Q;2;2;86;9150958;776;9587955;776;11468212;970;12043785;970
2019;4;10;1;Q;2;3;86;;;;;;;;
2019;4;10;1;Q;2;4;86;;;;;;;;
2019;4;10;1;Q;2;5;86;;;;;;;;
2019;4;10;1;Q;2;6;86;;;;;;;;
2019;4;10;1;Q;2;7;86;;;;;;;;
2019;4;10;1;Q;2;8;86;;;;;;;;
2019;4;10;1;Q;2;9;86;94798;40;100049;40;94798;40;100049;40
2019;4;11;3;C;1;1;17;;;;;;;;
2019;4;11;3;C;1;2;17;7445188;580;8422796;580;7810764;580;8902079;580
2019;4;11;3;C;1;3;17;;;;;;;;
2019;4;11;3;C;1;4;17;6934189;1821;8655149;1821;6245321;1692;8143147;1692
2019;4;11;3;C;1;5;17;;;;;;;;
2019;4;11;3;C;1;6;17;;;;;;;;
2019;4;11;3;C;1;7;17;;;;;;;;
2019;4;11;3;C;1;8;17;;;;;;;;
2019;4;11;3;C;1;9;17;;;;;;;;
2019;4;11;3;C;2;1;17;35516956;1158;37523888;1158;35343355;1158;37561830;1158
2019;4;11;3;C;2;2;17;29845651;3087;34463851;3111;27750982;2888;32212151;2888
2019;4;11;3;C;2;3;17;7356536;1544;9162975;1602;7392878;1544;9350385;1560
2019;4;11;3;C;2;4;17;29282642;5788;34839146;5837;28740024;5833;35201634;5833
2019;4;11;3;C;2;5;17;;;;;;;;
2019;4;11;3;C;2;6;17;;;;;;;;
2019;4;11;3;C;2;7;17;;;;;;;;
2019;4;11;3;C;2;8;17;52801532;10578;62974431;10701;48693172;10250;59951276;10282
2019;4;11;3;C;2;9;17;34941556;9254;43092207;9342;33573603;9022;43168288;9032
2019;4;12;3;H;1;1;49;2230985;189;2340184;189;2183208;189;2284008;189
2019;4;12;3;H;1;2;49;6067369;800;6396935;800;4893220;680;5157736;680
2019;4;12;3;H;1;3;49;1258125;375;1378353;375;1187101;365;1313799;365
2019;4;12;3;H;1;4;49;9362316;2520;11092068;2520;9208449;2511;10869765;2511
2019;4;12;3;H;1;5;49;;;;;;;;
2019;4;12;3;H;1;6;49;;;;;;;;
2019;4;12;3;H;1;7;49;;;;;;;;
2019;4;12;3;H;1;8;49;;;;;;;;
2019;4;12;3;H;1;9;49;;;;;;;;
2019;4;12;3;H;2;1;49;40090631;1510;44078556;1510;34049336;1210;38426857;1210
2019;4;12;3;H;2;2;49;29714704;4625;31865761;4625;27184427;4244;29417201;4244
2019;4;12;3;H;2;3;49;11290776;2752;13032797;2771;11523220;2801;13322841;2812
2019;4;12;3;H;2;4;49;31925511;7938;37570072;7978;34481904;8415;40688566;8452
2019;4;12;3;H;2;5;49;;;;;;;;
2019;4;12;3;H;2;6;49;;;;;;;;
2019;4;12;3;H;2;7;49;;;;;;;;
2019;4;12;3;H;2;8;49;543496219;91577;678521867;91806;535035762;89857;667498745;90071
2019;4;12;3;H;2;9;49;44200965;11965;56369515;11982;43463210;11895;55385532;11910
2019;4;13;3;C;1;1;10;;;;;;;;
2019;4;13;3;C;1;2;10;2494228;196;2575708;196;2494228;196;2579279;196
2019;4;13;3;C;1;3;10;1544964;358;1626872;358;1694585;391;1779541;391
2019;4;13;3;C;1;4;10;;;;;;;;
2019;4;13;3;C;1;5;10;;;;;;;;
2019;4;13;3;C;1;6;10;;;;;;;;
2019;4;13;3;C;1;7;10;8755332;3525;9485087;3534;8491764;3708;9044446;3719
2019;4;13;3;C;1;8;10;;;;;;;;
2019;4;13;3;C;1;9;10;;;;;;;;
2019;4;13;3;C;2;1;10;4875662;196;4981200;196;4875662;196;4981556;196
2019;4;13;3;C;2;2;10;8717553;978;9107907;986;8726613;978;9089427;978
2019;4;13;3;C;2;3;10;1989506;587;2100128;588;2029443;587;2128763;587
2019;4;13;3;C;2;4;10;8092708;1362;8522899;1366;8247810;1369;8862044;1413
2019;4;13;3;C;2;5;10;801370;196;996926;220;801370;196;980677;218
2019;4;13;3;C;2;6;10;;;;;;;;
2019;4;13;3;C;2;7;10;140511682;51674;156053383;51840;136377837;50400;146137106;50747
2019;4;13;3;C;2;8;10;7770046;1753;8296521;1771;8070991;1760;9031707;1876
2019;4;13;3;C;2;9;10;2742230;1268;2910553;1268;2666549;1258;2799724;1259
2019;4;14;3;C;1;1;17;3798270;194;3977075;194;3798270;194;3977075;194
2019;4;14;3;C;1;2;17;6074150;776;6758327;800;4694894;582;5387170;612
2019;4;14;3;C;1;3;17;6152244;1358;7048719;1396;6152244;1358;6968468;1383
2019;4;14;3;C;1;4;17;;;;;;;;
2019;4;14;3;C;1;5;17;;;;;;;;
2019;4;14;3;C;1;6;17;11729050;582;12258566;582;12719340;582;13248856;582
2019;4;14;3;C;1;7;17;380730;133;467106;137;138448;52;205702;52
2019;4;14;3;C;1;8;17;;;;;;;;
2019;4;14;3;C;1;9;17;;;;;;;;
2019;4;14;3;C;2;1;17;33629894;970;34970103;970;33629894;968;34970103;968
2019;4;14;3;C;2;2;17;38897128;3298;42652322;3426;38671448;3263;42082996;3365
2019;4;14;3;C;2;3;17;28716040;4462;32388591;4596;28136190;4343;31767040;4479
2019;4;14;3;C;2;4;17;;;;;;;;
2019;4;14;3;C;2;5;17;;;;;;;;
2019;4;14;3;C;2;6;17;19418503;776;20210039;776;20311581;776;21103117;776
2019;4;14;3;C;2;7;17;93868143;26610;111616080;27833;93572790;26436;112040942;27722
2019;4;14;3;C;2;8;17;;;;;;;;
2019;4;14;3;C;2;9;17;;;;;;;;
2019;4;15;3;P;1;1;85;382268250;25465;397775532;25465;387162192;25429;402882215;25429
2019;4;15;3;P;1;2;85;759439760;77432;798161505;77523;773221651;76998;813602841;77176
2019;4;15;3;P;1;3;85;99305283;13250;104739841;13309;91771657;13641;98227423;13830
2019;4;15;3;P;1;4;85;468996157;78667;495026159;79127;467078509;79076;494869334;79804
2019;4;15;3;P;1;5;85;;;;;;;;
2019;4;15;3;P;1;6;85;;;;;;;;
2019;4;15;3;P;1;7;85;7508348;2722;8138321;2779;7110980;2690;7664003;2773
2019;4;15;3;P;1;8;85;;;;;;;;
2019;4;15;3;P;1;9;85;;;;;;;;
2019;4;15;3;P;2;1;85;405649810;23091;420030995;23091;419656687;23061;434133522;23061
2019;4;15;3;P;2;2;85;713871908;61787;745252918;61838;732116455;61469;763822251;61529
