Tamano;Seccion;Sexo;Grupo;IR_Wi;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;ICMO_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;IPC_Wi;EST_ROHO_Wtam;EST_ROHO_Wcat;EST_ROHO_Wsex;EST_ROHO_Wgru;EST_ROHO_Wi;EST_CHT_Wtam;EST_CHT_Wcat;EST_CHT_Wsex;EST_CHT_Wgru;EST_CHT_Wi;EST_NT_Wtam;EST_NT_Wcat;EST_NT_Wsex;EST_NT_Wgru;EST_NT_Wi;EST_RORE_Wtam;EST_RORE_Wcat;EST_RORE_Wsex;EST_RORE_Wgru;EST_RORE_Wi
3;Q;2;5;0,046477387;0,071675277;1,07240075;0,067402948;1,83544096;0,053390122;0,081678255;1,230163881;0,077081951;1,942288104;0,40077;0,474890277;3,636584922;0,412279033;2,3407448;0,221100834;0,462349464;3,495145206;0,400101826;2,282243917;0,213728677;0,102728109;1,602255554;0,103817553;1,086580835;0,065149404;0,465146782;3,57655525;0,404031901;2,306067126;0,216491273
3;R;1;5;0,008447628;0,013027541;1,397460357;0,027210502;0,333605726;0,009346745;0,014299009;1,553560381;0,030409868;0,3400268;0,19847;0,724126694;3,456681553;0,727050439;3,56923668;0,337141069;0,670228705;3,186394794;0,665124054;3,308374946;0,30982429;0,043277754;3,776118818;0,073689102;0,4577596;0,02744643;0,721387176;3,446846144;0,723334335;3,57643504;0,33575214
3;R;2;5;0,018220599;0,028098965;3,014167333;0,026424077;0,719550631;0,018878472;0,02888101;3,137867248;0,027255781;0,686783065;0,42808;0,586851136;2,801384775;0,50947857;2,892602381;0,273227905;0,587478953;2,792986727;0,508384717;2,899906606;0,27157185;0,059954585;5,231224226;0,06059041;0,634154598;0,038022752;0,580552897;2,773928595;0,504274993;2,878218235;0,270204246
3;C;1;6;0,061429674;0,094734003;0,48351243;0,197870017;1,96990309;0,064343696;0,098435452;0,496484483;0,209343811;2,005011079;;0,648473466;3,586826711;0,651091752;5,772834658;0,301918213;0,6286209;3,476729813;0,623833146;5,571641337;0,290590395;0,177723345;0,835939804;0,302609826;1,784939599;0,112710825;0,647536146;3,582130447;0,649283968;5,753704471;0,301379972
3;C;2;6;0,146715836;0,226258378;1,154799061;0,212771856;4,704826804;0,150960395;0,230944997;1,164830405;0,217948961;4,704070207;;0,422078868;2,334596305;0,366430471;3,757426703;0,19651274;0,41422785;2,290980645;0,358458983;3,671416287;0,191483666;0,273355893;1,285757207;0,276254865;2,745411743;0,173360276;0,423795895;2,344413033;0,36811404;3,765652857;0,197245507
3;G;1;6;0,729950662;1,125696162;4,946948435;2,351230923;23,40777616;0,786497374;1,203213822;5,336748258;2,558888707;24,50800998;;0,568701782;2,60041556;0,570997981;5,062691886;0,264777874;0,557673115;2,523488995;0,553425719;4,942811447;0,257793609;2,111994455;7,313174623;3,596096359;21,21152139;1,339411189;0,559476076;2,559600205;0,560986207;4,971243722;0,260394551
3;G;2;6;0,558655907;0,86153331;3,786066795;0,810180125;17,91476205;0,592822828;0,906923079;4,022576929;0,85588753;18,47292598;;0,470375525;2,150814139;0,408359522;4,187372763;0,218998842;0,461098062;2,086483738;0,399018904;4,086839976;0,213150196;1,261709282;4,368903659;1,275089861;12,67180099;0,800166651;0,464938985;2,127093493;0,403851405;4,13123118;0,216394558
3;H;1;6;0,011974029;0,018465793;0,204994651;0,038569328;0,383978532;0,012128018;0,018553906;0,193486623;0,039458806;0,377920624;;0,606706076;4,442802842;0,609155722;5,401013372;0,282472027;0,610922685;4,580116051;0,606269726;5,414777158;0,282409103;0,03279757;0,324396224;0,055844475;0,329397816;0,020799975;0,60739896;4,439844497;0,609038444;5,397064141;0,282699094
3;H;2;6;0,009186313;0,014166707;0,157269122;0,013322276;0,294583134;0,009821952;0,015025999;0,156696375;0,014180437;0,306061427;;0,774782134;5,673594519;0,672632069;6,897258545;0,36072538;0,756123843;5,668695944;0,654324387;6,701735277;0,349530736;0,032042299;0,316925938;0,032382111;0,321812352;0,020320988;0,769282815;5,623151004;0,668207993;6,835488643;0,358044002
3;I;1;6;0,005819759;0,008974963;0,272522508;0,01874592;0,186625775;0,006043691;0,00924587;0,282936168;0,019663298;0,188327187;;0,782386689;5,134849215;0,785545665;6,964955741;0,364265931;0,762004223;4,889819759;0,756200584;6,753854712;0,352249039;0,028631233;0,389176581;0,048750446;0,287553788;0,018157715;0,788343746;5,161374357;0,790471634;7,0048552;0,36691545
3;I;2;6;0,003952417;0,006095235;0,185080284;0,005731918;0,126744582;0,004061463;0,006213382;0,190137906;0,005863734;0,126559065;;0,737334259;4,839167505;0,640121456;6,563890406;0,343290287;0,728960984;4,677779622;0,630818554;6,46098333;0,336974256;0,01797567;0,24433841;0,018166304;0,180536134;0,011400036;0,741486096;4,854592101;0,64406344;6,588499956;0,345106695
3;J;1;6;0,01954276;0,030137941;0,514100431;0,062948833;0,626689693;0,018547562;0,028374772;0,498080167;0,060344954;0,577959775;;0,405862754;4,742255751;0,407501471;3,613067754;0,188962793;0,434713296;4,983693871;0,431402397;3,852984479;0,200953402;0,042093795;1,188431532;0,071673172;0,42276315;0,026695572;0,40891906;4,774832822;0,410022809;3,63346423;0,190321445
3;J;2;6;0,017493556;0,026977753;0,460193163;0,025369697;0,5609766;0,016892289;0,025842472;0,453629115;0,024388231;0,526379885;;0,513825643;6,003735469;0,446081021;4,574174015;0,239228478;0,541060869;6,202896853;0,468216053;4,795572504;0,250114324;0,042545036;1,201171404;0,042996231;0,42729513;0,026981746;0,515956379;6,024677485;0,448165707;4,584547974;0,240139365
3;N;1;6;0,20932614;0,322813095;3,021616143;0,674256657;6,712589882;0,212863592;0,325646879;2,969739109;0,692556973;6,633032983;;0,793800343;4,337841405;0,797005403;7,066562272;0,369579935;0,789580915;4,342023542;0,783567244;6,998274584;0,364996821;1,071672501;5,726727926;1,824738493;10,76319312;0,679646736;0,796069426;4,350426898;0,798218167;7,073501988;0,37051118
3;N;2;6;0,22859203;0,35252406;3,299718654;0,331511253;7,330401017;0,234219312;0,35831768;3,267680711;0,338153963;7,29849766;;0,731659977;3,998266028;0,635195292;6,513376869;0,340648438;0,72274555;3,974485873;0,625439924;6,40589421;0,334101069;0,937374482;5,009075644;0,947315451;9,414389716;0,594475931;0,733187706;4,006785605;0,636855361;6,514764322;0,34124441
3;R;1;6;0,006117245;0,009433732;1,011953551;0,019704147;0,196165445;0,006399895;0,009790804;1,063752414;0,020822216;0,19942684;;0,482960481;2,305453728;0,48491049;4,299406453;0,224858183;0,473499582;2,251107111;0,469893276;4,196758089;0,218883003;0,01801009;1,571436443;0,030665809;0,180881825;0,011421865;0,488901439;2,336010534;0,490221076;4,344150386;0,227547301
3;R;2;6;0,003798249;0,005857484;0,628330477;0,005508338;0,121800776;0,004076029;0,006235665;0,677493223;0,005884763;0,127012951;;0,450654848;2,151239984;0,39123889;4,01181553;0,20981723;0,433126225;2,059164488;0,374813008;3,838917827;0,200219752;0,010109575;0,882091875;0,010216788;0,101534102;0,006411417;0,457469854;2,18582788;0,397363631;4,064863961;0,212918233
3;B;1;7;0,015867494;0,024470115;0,262356554;0,051110498;0,189410293;0,019564274;0,029930177;0,321695495;0,063652852;0,221192232;;0,184517527;2,01139049;0,185262538;0,8019494;0,085908221;0,153620815;1,698133299;0,152450796;0,669878083;0,071013759;0,013601807;0,330011445;0,023159818;0,067009903;0,008626165;0,185146538;2,014909567;0,185646283;0,807864587;0,086171959
3;B;2;7;0,794649247;1,225471328;13,1389015;1,152424987;9,485729009;0,858947089;1,314050172;14,12367278;1,24010424;9,711191962;;0,193595029;2,110342611;0,168070763;0,841402005;0,090134552;0,185144796;2,046601194;0,16021814;0,807341382;0,08558624;0,717447921;17,40695424;0,725056542;3,534538953;0,45500014;0,194662025;2,118464548;0,169085697;0,849384267;0,090600712
3;C;1;7;0,189034178;0,29151977;1,487886367;0,608894585;2,256501213;0,201998162;0,309024529;1,558644576;0,657206028;2,28377621;;0,669285956;3,701944441;0,671988275;2,908848172;0,311608154;0,658415259;3,641514246;0,653400583;2,871081964;0,30436333;0,579384581;2,72519422;0,986519058;2,854363794;0,367441396;0,665560512;3,681840142;0,667356985;2,904093015;0,309768976
3;C;2;7;1,27120357;1,960391371;10,0056322;1,843538847;15,17435853;1,369684229;2,095395421;10,56866495;1,977480617;15,48554812;;0,439871714;2,433011825;0,381877444;1,911768832;0,204796786;0,435389064;2,40801752;0,376771193;1,898555163;0,201265787;2,58053546;12,13781063;2,607902349;12,71312222;1,636556413;0,435566371;2,409526589;0,378338012;1,900541324;0,202723789
3;D;2;7;0,05781335;0,089157076;6,045276811;0,083842714;0,690118031;0,059481248;0,090996692;6,05209232;0,085876008;0,672490567;;0,287499953;9,296214796;0,249594925;1,249531245;0,133855087;0,291708897;9,669387606;0,252435163;1,272024214;0,134847256;0,086606592;13,16588984;0,087525066;0,426671213;0,054925257;0,285682365;9,237187214;0,248147022;1,246540539;0,132963918
3;E;1;7;0,003897173;0,00601004;0,81089624;0,012553114;0,046520559;0,004052498;0,006199666;0,819276517;0,013184902;0,045817239;;1,103661852;9,710875973;1,108118013;4,796731101;0,513846181;1,090352013;9,812065128;1,082047585;4,754583002;0,504033229;0,020075505;2,193735732;0,034182595;0,098902865;0,012731736;1,067888134;9,459776223;1,070770564;4,659601063;0,497022596
3;E;2;7;0,027693696;0,042707938;5,762308776;0,040162257;0,330579686;0,031797822;0,048645526;6,428432515;0,045908082;0,359503811;;0,548938591;4,829988971;0,476564551;2,385794894;0,255576469;0,551837128;4,965975916;0,477541469;2,406337949;0,255095828;0,070956225;7,75368814;0,071708724;0,349568984;0,044999911;0,541047711;4,792815003;0,469960329;2,360796424;0,251817516
3;F;1;7;0,033020337;0,050922437;0,313191815;0,106361212;0,394163801;0,034537744;0,052837164;0,31981489;0,112369406;0,390481166;;0,565722145;4,042811509;0,568006313;2,458739515;0,263390606;0,567589508;4,071299376;0,563266586;2,475027692;0,262377626;0,09585256;0,494768144;0,163208308;0,472221882;0,060788981;0,574383722;4,085110111;0,575934091;2,506254087;0,267332953
3;F;2;7;2,29024451;3,531909194;21,72254746;3,321383628;27,33865145;2,411301105;3,688900833;22,32832575;3,48131423;27,26199112;;0,44052683;3,148130148;0,382446187;1,914616098;0,205101797;0,438422541;3,144789308;0,379396263;1,911782923;0,202668061;5,098651113;26,31802582;5,152722923;25,1187305;3,233526648;0,444156431;3,158912519;0,385799438;1,938023015;0,206721824
3;G;1;7;0,091205524;0,140652942;0,618108933;0,29378047;1,088720451;0,099100575;0,151607857;0,672443211;0,322426177;1,120423735;;0,733091697;3,352096154;0,736051639;3,18616045;0,341315022;0,698557186;3,160994002;0,693236777;3,046124629;0,322919598;0,342155489;1,184777181;0,582588702;1,685644168;0,216992468;0,732714491;3,352165075;0,734692225;3,197111303;0,341024164
