EMPRESA_GENERICA;TAMANO_EMPRESA;CATEGORIA;ID_DIVISION;TT;SEXO;GRUPO;RO (ENE);RO (FEB);RO (MAR);RO (ABR);RO (MAY);RO (JUN);HO (ENE);HO (FEB);HO (MAR);HO (ABR);HO (MAY);HO (JUN);RE (ENE);RE (FEB);RE (MAR);RE (ABR);RE (MAY);RE (JUN);HE (ENE);HE (FEB);HE (MAR);HE (ABR);HE (MAY);HE (JUN);C (ENE);C (FEB);C (MAR);C (ABR);C (MAY);C (JUN);NT (ENE);NT (FEB);NT (MAR);NT (ABR);NT (MAY);NT (JUN)
1458;3;G;3;33;2;9;53954631;51090365;47409299;53250215;53196213;58679230;13253;13896;12571;13021;13227;13800;0;0;0;0;0;0;0;0;0;0;0;0;56877662;54294555;50370646;56591019;56267374;62123833;82;83;77;78;82;94
1459;1;F;1;21;1;4;305903,5247;305903,5247;310889,7591;305903,5247;305903,5247;305903,5247;90,1400145;90,1400145;90,1400145;90,1400145;90,1400145;90,1400145;0;0;0;0;0;0;0;0;0;0;0;0;320860,2868;320860,2868;325576,8668;320860,2868;320860,2868;320860,2868;0,468758688;0,468758688;0,468758688;0,468758688;0,468758688;0,468758688
1459;1;F;1;21;2;3;1051730,806;1085644,705;1037584,42;1109073,45;1125977,053;1134461,078;131,190919;132,5557782;124,7771732;122,8179949;130,6892654;135,6656666;0;0;0;0;0;0;0;0;0;0;0;0;1336748,48;1348148,377;1275447,032;1357488,218;1397430,411;1392797,587;0,775573636;0,793610233;0,793137282;0,793137282;0,854147843;0,784892612
1459;1;F;1;21;2;7;208214,0244;196970,0685;187339,692;80960,99317;142040,8907;196917,5859;67,82008026;61,47315729;85,21851376;35,70858965;67,7541539;84,5095411;0;0;0;0;0;0;0;0;0;0;0;0;244482,8146;229067,8339;219074,7201;95729,61209;163730,1363;231609,5125;0,452089725;0,42725904;0,465530791;0,189660693;0,362079504;0,44828891
1459;1;F;1;21;2;9;295400,7785;299233,5163;295694,0258;251146,6677;310415,0554;363254,0084;134,5526181;138,8130005;150,0332504;120,98527;139,8131978;124,9293466;0;0;0;0;0;0;0;0;0;0;0;0;367640,2066;367653,4196;361817,4681;293042,6951;364118,1846;426821,4999;1,564283889;1,602304678;1,48527574;1,1425198;1,439574948;1,530976532
1460;1;M;1;11;1;3;146610,9804;;;;;;37,61889872;;;;;;0;;;;;;0;;;;;;155648,2221;;;;;;0,933786078;;;;;
1460;1;M;1;11;1;4;320367,7966;330000;330000;330000;330000;330000;188,0277309;194;194;194;194;194;0;16427;20533;12320;30800;28746;0;8;10;6;15;14;358218,8308;432194;432970;431164;435546;435058;1;1;1;1;1;1
1460;1;M;1;11;1;9;321875;330000;330000;330000;330000;330000;189;194;194;194;194;194;0;8213;15400;15400;30800;15400;0;4;8;8;15;8;337325;354583;361980;362117;391969;377556;1;1;1;1;1;1
1460;1;M;1;11;2;1;801927;804500;804500;804500;804500;804500;189;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;840419;843414;843414;843414;843414;843414;1;1;1;1;1;1
1460;1;M;1;11;2;3;86459,16241;;;;;;20,74979713;;;;;;0;;;;;;0;;;;;;90584,81193;;;;;;0,732396669;;;;;
1461;1;O;2;11;1;3;418700;418700;418700;418700;418700;418700;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;488379;488379;488379;488379;488379;488379;1;1;1;1;1;1
1461;1;O;2;11;1;5;250000;250000;250000;250000;250000;250000;86;86;86;86;86;86;0;0;0;0;0;0;0;0;0;0;0;0;304350;304350;304350;304350;304350;304350;1;1;1;1;1;1
1461;1;O;2;11;1;9;1083050;1083050;1083050;1083050;1083050;1083050;452;452;452;452;452;452;0;0;0;0;0;0;0;0;0;0;0;0;1313953;1320474;1320474;1320474;1320474;1320474;4;4;4;4;4;4
