A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;6;3;P;2;6;1;;;;;;;;
2019;8;6;3;P;2;7;1;;;;;;;;
2019;8;6;3;P;2;8;1;;;;;;;;
2019;8;6;3;P;2;9;1;;;;;;;;
2019;8;7;3;O;1;1;1;162390938;7757;174710364;7757;172323115;8325;186637266;8325
2019;8;7;3;O;1;2;1;456142302;43327;522907314;43473;460693135;43705;518820257;43915
2019;8;7;3;O;1;3;1;;;;;0;0;0;0
2019;8;7;3;O;1;4;1;102352055;18731;122668683;19160;101435176;18352;119376744;18775
2019;8;7;3;O;1;5;1;1306360;378;1658771;398;1306360;378;1667203;398
2019;8;7;3;O;1;6;1;;;;;0;0;0;0
2019;8;7;3;O;1;7;1;;;;;0;0;0;0
2019;8;7;3;O;1;8;1;;;;;0;0;0;0
2019;8;7;3;O;1;9;1;;;;;0;0;0;0
2019;8;7;3;O;2;1;1;253554182;11352;272452214;11352;257830143;11541;274988927;11541
2019;8;7;3;O;2;2;1;398660889;35570;457564947;35667;400883675;35570;451643582;35673
2019;8;7;3;O;2;3;1;;;;;;;;
2019;8;7;3;O;2;4;1;36811937;7000;45571026;7285;36718805;7000;51768169;7299
2019;8;7;3;O;2;5;1;11157710;3216;15259289;3585;10617587;3216;18312025;3626
2019;8;7;3;O;2;6;1;;;;;;;;
2019;8;7;3;O;2;7;1;;;;;;;;
2019;8;7;3;O;2;8;1;6849426;2081;8898365;2225;6274481;1892;10739101;1988
2019;8;7;3;O;2;9;1;1159727;378;1468773;416;1159727;378;1905809;418
2019;8;8;3;I;1;1;1;;;;;;;;
2019;8;8;3;I;1;2;1;28110718;4613;30476033;4621;26517346;4074;28701813;4086
2019;8;8;3;I;1;3;1;6908014;1142;7427931;1143;11122538;2758;11928282;2775
2019;8;8;3;I;1;4;1;19869679;7439;23105469;7534;19347295;6925;22385625;6987
2019;8;8;3;I;1;5;1;60735807;25085;67640431;25646;59224134;24537;65480323;25007
2019;8;8;3;I;1;6;1;;;;;;;;
2019;8;8;3;I;1;7;1;391312;194;428468;197;389837;194;415707;195
2019;8;8;3;I;1;8;1;3972024;1654;4477526;1663;1752483;682;1925996;687
2019;8;8;3;I;1;9;1;8808041;4146;9813404;4246;8221868;3803;9092984;3862
2019;8;8;3;I;2;1;1;;;;;;;;
2019;8;8;3;I;2;2;1;21431977;3415;23090456;3415;21764361;3443;23407889;3447
2019;8;8;3;I;2;3;1;6282143;1548;6873095;1563;7680040;2359;8375534;2386
2019;8;8;3;I;2;4;1;7078693;2457;8073996;2506;7185256;2348;8120082;2382
2019;8;8;3;I;2;5;1;37529565;15704;41128302;16006;40521045;16327;44169675;16594
2019;8;8;3;I;2;6;1;;;;;;;;
2019;8;8;3;I;2;7;1;1340293;387;1497147;389;1340293;387;1470550;388
2019;8;8;3;I;2;8;1;7555362;2611;8072356;2629;6142353;2379;6540272;2385
2019;8;8;3;I;2;9;1;13465310;5222;15353588;5391;14240639;5660;15925964;5778
