Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;7;7;3;O;1;9;1;0;0;0;0;;;;
2019;7;7;3;O;2;1;1;256144325;11730;274730813;11730;253554182;11352;272452214;11352
2019;7;7;3;O;2;2;1;395327674;35191;458379643;35301;398660889;35570;457564947;35667
2019;7;7;3;O;2;3;1;0;0;0;0;;;;
2019;7;7;3;O;2;4;1;37859192;7379;47306137;7701;36811937;7000;45571026;7285
2019;7;7;3;O;2;5;1;11157710;3216;15975527;3649;11157710;3216;15259289;3585
2019;7;7;3;O;2;6;1;0;0;0;0;;;;
2019;7;7;3;O;2;7;1;0;0;0;0;;;;
2019;7;7;3;O;2;8;1;6849426;2081;9323444;2250;6849426;2081;8898365;2225
2019;7;7;3;O;2;9;1;1159727;378;1499117;418;1159727;378;1468773;416
2019;7;8;3;I;1;1;1;;;;;;;;
2019;7;8;3;I;1;2;1;28884348;4796;31232068;4806;28110718;4613;30476033;4621
2019;7;8;3;I;1;3;1;6459043;1161;6916225;1164;6908014;1142;7427931;1143
2019;7;8;3;I;1;4;1;19603699;7183;22689359;7270;19869679;7439;23105469;7534
2019;7;8;3;I;1;5;1;59025976;24713;65285773;25198;60735807;25085;67640431;25646
2019;7;8;3;I;1;6;1;;;;;;;;
2019;7;8;3;I;1;7;1;391384;194;423989;197;391312;194;428468;197
2019;7;8;3;I;1;8;1;4114196;1751;4498856;1753;3972024;1654;4477526;1663
2019;7;8;3;I;1;9;1;9275174;4274;10356982;4361;8808041;4146;9813404;4246
2019;7;8;3;I;2;1;1;;;;;;;;
2019;7;8;3;I;2;2;1;19951111;3066;21486859;3069;21431977;3415;23090456;3415
2019;7;8;3;I;2;3;1;6554579;1535;7287015;1561;6282143;1548;6873095;1563
2019;7;8;3;I;2;4;1;8030525;2798;9075631;2846;7078693;2457;8073996;2506
2019;7;8;3;I;2;5;1;33844711;13935;37050377;14186;37529565;15704;41128302;16006
2019;7;8;3;I;2;6;1;;;;;;;;
2019;7;8;3;I;2;7;1;1340293;387;1463254;387;1340293;387;1497147;389
2019;7;8;3;I;2;8;1;8397746;2751;8917682;2763;7555362;2611;8072356;2629
2019;7;8;3;I;2;9;1;13113634;5069;14855872;5228;13465310;5222;15353588;5391
2019;7;9;3;F;1;1;1;0;0;0;0;0;0;0;0
2019;7;9;3;F;1;2;1;80049602;6945;88005483;6945;73184905;6098;80932827;6098
2019;7;9;3;F;1;3;1;54921086;8316;64298564;8316;60196639;8290;69759498;8290
2019;7;9;3;F;1;4;1;27655121;4352;31186457;4397;28178837;3932;31778794;3966
2019;7;9;3;F;1;5;1;0;0;0;0;0;0;0;0
2019;7;9;3;F;1;6;1;1606875;194;1707999;194;1606875;194;1707999;194
2019;7;9;3;F;1;7;1;32939009;6778;38963791;6783;37632726;6692;43856690;6698
2019;7;9;3;F;1;8;1;8809267;1940;10467205;1940;9674657;2069;11397085;2069
2019;7;9;3;F;1;9;1;12731766;3150;15097944;3171;12310103;2833;14625989;2847
2019;7;9;3;F;2;1;1;12919802;194;13188125;194;12919802;194;13189046;194
2019;7;9;3;F;2;2;1;1338446847;83229;1486661374;83434;1321242600;79514;1468406178;79705
2019;7;9;3;F;2;3;1;1200196583;137021;1391876505;137095;1203948874;128476;1395646065;128543
2019;7;9;3;F;2;4;1;104676008;16717;124802640;16991;107029111;15909;126782762;16072
2019;7;9;3;F;2;5;1;0;0;0;0;;;;
2019;7;9;3;F;2;6;1;3683847;375;3898173;375;3683847;375;3898173;375
2019;7;9;3;F;2;7;1;4160728294;1151206;5390789203;1153511;4382396313;1104135;5659555896;1105173
2019;7;9;3;F;2;8;1;574154538;127564;703714428;128046;588202126;120654;720317277;121010
2019;7;9;3;F;2;9;1;81289311;21019;103028876;21367;88045441;19994;109957039;20190
2019;7;10;1;Q;1;1;1;4697830;194;4846847;194;4697830;194;4847115;194
2019;7;10;1;Q;1;2;1;4801326;304;5006983;304;5015181;388;5224467;388
2019;7;10;1;Q;1;3;1;2004549;776;2140575;782;2111888;776;2253361;782
2019;7;10;1;Q;1;4;1;4524508;1358;4898357;1381;4326509;1306;4678337;1328
2019;7;10;1;Q;1;5;1;;;;;;;;
2019;7;10;1;Q;1;6;1;;;;;;;;
2019;7;10;1;Q;1;7;1;;;;;;;;
2019;7;10;1;Q;1;8;1;;;;;;;;
2019;7;10;1;Q;1;9;1;;;;;;;;
2019;7;10;1;Q;2;1;1;2219026;194;2300754;194;2221717;194;2303547;194
2019;7;10;1;Q;2;2;1;11452636;970;12036204;970;11321836;970;11899772;970
2019;7;10;1;Q;2;3;1;;;;;;;;
2019;7;10;1;Q;2;4;1;;;;;;;;
2019;7;10;1;Q;2;5;1;;;;;;;;
2019;7;10;1;Q;2;6;1;;;;;;;;
2019;7;10;1;Q;2;7;1;;;;;;;;
2019;7;10;1;Q;2;8;1;;;;;;;;
2019;7;10;1;Q;2;9;1;94798;40;100049;40;94798;40;100049;40
2019;7;11;3;C;1;1;7;;;;;;;;
2019;7;11;3;C;1;2;7;7857948;580;8838341;580;11661837;773;13028953;773
2019;7;11;3;C;1;3;7;;;;;;;;
2019;7;11;3;C;1;4;7;6437045;1686;7956725;1686;6820474;1737;8413069;1737
2019;7;11;3;C;1;5;7;;;;;;;;
2019;7;11;3;C;1;6;7;;;;;;;;
2019;7;11;3;C;1;7;7;;;;;;;;
2019;7;11;3;C;1;8;7;;;;;;;;
2019;7;11;3;C;1;9;7;;;;;;;;
2019;7;11;3;C;2;1;7;29697859;966;31360231;966;30538281;966;32231997;966
2019;7;11;3;C;2;2;7;26904421;2882;30693188;2882;25965478;2695;29703490;2695
2019;7;11;3;C;2;3;7;5273354;1158;6221999;1158;4951967;1036;6134993;1069
2019;7;11;3;C;2;4;7;27493597;5743;32673951;5743;27505961;5518;32765563;5540
2019;7;11;3;C;2;5;7;;;;;;;;
2019;7;11;3;C;2;6;7;;;;;;;;
2019;7;11;3;C;2;7;7;;;;;;;;
2019;7;11;3;C;2;8;7;47592933;10141;56252491;10153;47842040;9961;57246237;10056
2019;7;11;3;C;2;9;7;32026963;9196;39292462;9196;37964655;10996;47035886;11002
2019;7;12;3;H;1;1;1;2173168;189;2290957;189;2168896;189;2295354;189
2019;7;12;3;H;1;2;1;4936443;700;5216913;700;5000694;701;5284250;701
2019;7;12;3;H;1;3;1;1176665;360;1304765;360;1190784;360;1320421;360
2019;7;12;3;H;1;4;1;9199082;2514;10862643;2514;8564918;2343;10131532;2343
2019;7;12;3;H;1;5;1;;;;;;;;
2019;7;12;3;H;1;6;1;;;;;;;;
2019;7;12;3;H;1;7;1;;;;;;;;
2019;7;12;3;H;1;8;1;;;;;;;;
2019;7;12;3;H;1;9;1;;;;;;;;
2019;7;12;3;H;2;1;1;39931664;1496;44275813;1496;40410844;1496;44807122;1496
2019;7;12;3;H;2;2;1;27172999;4224;29515001;4224;27471903;4225;29839667;4225
2019;7;12;3;H;2;3;1;11663865;2805;13488543;2816;11827160;2807;13677384;2818
2019;7;12;3;H;2;4;1;35129643;8522;41248721;8547;35698764;8523;41894331;8549
2019;7;12;3;H;2;5;1;;;;;0;0;0;0
2019;7;12;3;H;2;6;1;;;;;0;0;0;0
2019;7;12;3;H;2;7;1;;;;;0;0;0;0
2019;7;12;3;H;2;8;1;532164183;89007;663821055;89198;526948787;87748;657271811;87937
2019;7;12;3;H;2;9;1;41723223;11725;52963039;11750;42385496;12023;53811701;12050
2019;7;13;3;C;1;1;1;0;0;0;0;;;;
2019;7;13;3;C;1;2;1;3778688;345;3892989;345;4188910;391;4312689;391
2019;7;13;3;C;1;3;1;897725;196;966879;196;1397854;313;1477466;313
2019;7;13;3;C;1;4;1;0;0;0;0;;;;
2019;7;13;3;C;1;5;1;0;0;0;0;;;;
2019;7;13;3;C;1;6;1;0;0;0;0;;;;
2019;7;13;3;C;1;7;1;9369102;3617;9935574;3632;8869081;3431;9416347;3439
2019;7;13;3;C;1;8;1;0;0;0;0;;;;
2019;7;13;3;C;1;9;1;0;0;0;0;574645;196;600310;196
2019;7;13;3;C;2;1;1;4875662;196;4982481;196;4920073;196;5027077;196
2019;7;13;3;C;2;2;1;8331229;867;8639374;867;7834805;782;8125980;782
2019;7;13;3;C;2;3;1;2022647;587;2132633;587;2326160;580;2438174;580
2019;7;13;3;C;2;4;1;8592120;1369;9146895;1394;8412798;1362;9082539;1414
2019;7;13;3;C;2;5;1;739426;189;934247;214;848851;189;1035392;211
2019;7;13;3;C;2;6;1;0;0;0;0;;;;
2019;7;13;3;C;2;7;1;155006816;55320;163815875;55504;149128606;54126;160599314;54453
2019;7;13;3;C;2;8;1;8972103;1805;9771289;1874;9075997;1955;9879058;2032
2019;7;13;3;C;2;9;1;2825209;1297;3063913;1301;7170863;3381;7525107;3386
2019;7;14;3;C;1;1;7;3798270;194;3977075;194;3798270;194;3977075;194
2019;7;14;3;C;1;2;7;6074150;774;6835697;807;5625250;692;6284052;716
2019;7;14;3;C;1;3;7;5591609;1164;6340185;1190;7315889;1548;8259085;1586
2019;7;14;3;C;1;4;7;;;;;;;;
