A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;11;8;3;I;1;7;1;393237;194;433551;200;390440;194;418449;196
2019;11;8;3;I;1;8;1;1293240;519;1393097;521;1127079;479;1219156;479
2019;11;8;3;I;1;9;1;8814819;4141;9783660;4225;8881357;4149;9612886;4163
2019;11;8;3;I;2;1;1;;;;;;;;
2019;11;8;3;I;2;2;1;23212882;3615;24967031;3615;16478796;3274;17859602;3274
2019;11;8;3;I;2;3;1;7361234;2189;8075959;2233;7118151;2215;7705980;2235
2019;11;8;3;I;2;4;1;7699745;2666;8598189;2688;7351444;2563;8102634;2567
2019;11;8;3;I;2;5;1;36077345;15008;39351402;15226;28562738;12166;30921716;12223
2019;11;8;3;I;2;6;1;;;;;;;;
2019;11;8;3;I;2;7;1;1349848;387;1479446;388;1349848;387;1478187;388
2019;11;8;3;I;2;8;1;5654250;2306;5993171;2310;4339643;1646;4591338;1646
2019;11;8;3;I;2;9;1;14015792;5550;15685245;5661;12818147;5064;14080841;5093
2019;11;9;3;F;1;1;1;0;0;0;0;0;0;0;0
2019;11;9;3;F;1;2;1;53383585;4682;58816768;4687;50922015;4430;56962537;4430
2019;11;9;3;F;1;3;1;44937028;6548;52561337;6574;45741897;5974;51953862;5974
2019;11;9;3;F;1;4;1;19115942;2535;21131918;2535;22110505;2962;25341276;3016
2019;11;9;3;F;1;5;1;0;0;0;0;0;0;0;0
2019;11;9;3;F;1;6;1;1606875;194;1707999;194;1606875;194;1707999;194
2019;11;9;3;F;1;7;1;25899188;4560;31462419;4593;24260758;3708;28891876;3732
2019;11;9;3;F;1;8;1;3177332;582;3685427;582;3115389;479;3525304;479
2019;11;9;3;F;1;9;1;8953318;2109;10567951;2123;7638986;1972;8908697;1986
2019;11;9;3;F;2;1;1;12919802;194;13190285;194;12919802;194;13191120;194
2019;11;9;3;F;2;2;1;1173877971;65476;1296710736;65790;1147310598;60434;1258031270;60472
2019;11;9;3;F;2;3;1;826515561;86724;969770073;87159;699796463;69022;810655137;69088
2019;11;9;3;F;2;4;1;83408559;12338;99185854;12441;83597932;11841;99392426;11966
2019;11;9;3;F;2;5;1;0;0;0;0;0;0;0;0
2019;11;9;3;F;2;6;1;5246861;582;6269143;582;5246861;582;6269143;582
2019;11;9;3;F;2;7;1;2681728255;613135;3533651496;618450;2155162828;450071;2738134431;451474
2019;11;9;3;F;2;8;1;327733442;66278;407758950;66985;296341825;60483;368030982;60940
2019;11;9;3;F;2;9;1;43586322;9738;55356273;9918;36494486;7637;46322835;7720
2019;11;10;1;Q;1;1;1;4697830;194;4767625;194;4697830;180;4768016;180
2019;11;10;1;Q;1;2;1;5332511;388;5508633;388;5035521;388;5211931;388
2019;11;10;1;Q;1;3;1;2153634;776;2265157;776;2153634;776;2265157;776
2019;11;10;1;Q;1;4;1;3395917;970;3749416;1003;2729734;776;2890023;776
2019;11;10;1;Q;1;5;1;;;;;;;;
2019;11;10;1;Q;1;6;1;;;;;;;;
2019;11;10;1;Q;1;7;1;;;;;;;;
2019;11;10;1;Q;1;8;1;;;;;;;;
2019;11;10;1;Q;1;9;1;;;;;;;;
2019;11;10;1;Q;2;1;1;2393903;194;2502419;194;2402218;194;2511059;194
2019;11;10;1;Q;2;2;1;11397909;970;11989278;970;10766532;970;11329752;970
2019;11;10;1;Q;2;3;1;;;;;;;;
2019;11;10;1;Q;2;4;1;;;;;573146;86;604899;86
2019;11;10;1;Q;2;5;1;;;;;;;;
2019;11;10;1;Q;2;6;1;;;;;;;;
2019;11;10;1;Q;2;7;1;;;;;;;;
2019;11;10;1;Q;2;8;1;;;;;;;;
2019;11;10;1;Q;2;9;1;94798;40;100049;40;94798;40;100049;40
2019;11;11;3;C;1;1;7;;;;;;;;
2019;11;11;3;C;1;2;7;10565197;773;12000082;773;9672361;760;11051854;760
2019;11;11;3;C;1;3;7;;;;;;;;
2019;11;11;3;C;1;4;7;6499894;1718;8128567;1718;5627834;1583;7091902;1590
2019;11;11;3;C;1;5;7;;;;;;;;
2019;11;11;3;C;1;6;7;;;;;;;;
2019;11;11;3;C;1;7;7;;;;;;;;
2019;11;11;3;C;1;8;7;;;;;;;;
2019;11;11;3;C;1;9;7;;;;;;;;
2019;11;11;3;C;2;1;7;33694003;1158;35908426;1158;33694003;1158;35844728;1158
2019;11;11;3;C;2;2;7;24781881;2702;28922365;2717;25225110;2702;29603782;2743
2019;11;11;3;C;2;3;7;6032652;1158;7872906;1233;5684646;1152;7199937;1206
2019;11;11;3;C;2;4;7;22452973;4374;27148822;4392;22253620;3988;26724674;4020
2019;11;11;3;C;2;5;7;;;;;;;;
2019;11;11;3;C;2;6;7;;;;;;;;
2019;11;11;3;C;2;7;7;;;;;;;;
2019;11;11;3;C;2;8;7;42463402;7977;52732713;8186;43180566;7968;54537270;8333
2019;11;11;3;C;2;9;7;38693559;11357;50514701;11623;38104726;10508;50972650;11077
2019;11;12;3;H;1;1;1;2214312;189;2323803;189;2213423;189;2325773;189
2019;11;12;3;H;1;2;1;5131995;755;5460296;755;5123680;755;5464957;755
2019;11;12;3;H;1;3;1;1235688;377;1386665;377;1239732;377;1394036;377
2019;11;12;3;H;1;4;1;6638681;1926;7992933;1926;5584510;1703;6699070;1703
2019;11;12;3;H;1;5;1;0;;0;;;;;
2019;11;12;3;H;1;6;1;0;;0;;;;;
2019;11;12;3;H;1;7;1;0;;0;;;;;
2019;11;12;3;H;1;8;1;0;;0;;;;;
2019;11;12;3;H;1;9;1;0;;0;;;;;
2019;11;12;3;H;2;1;1;35457465;1512;39673577;1512;35455786;1512;39799940;1512
2019;11;12;3;H;2;2;1;27634341;4347;30222714;4347;27413420;4347;30010820;4347
2019;11;12;3;H;2;3;1;11967487;3024;13907119;3040;12085171;3024;14106997;3048
2019;11;12;3;H;2;4;1;34601726;8168;41286174;8189;34439253;8168;41135028;8193
2019;11;12;3;H;2;5;1;;;;;;;;
2019;11;12;3;H;2;6;1;;;;;;;;
2019;11;12;3;H;2;7;1;;;;;;;;
2019;11;12;3;H;2;8;1;531323725;91347;663770906;91586;527085834;90600;658681004;90848
2019;11;12;3;H;2;9;1;43025290;12015;54397872;12052;43620803;12220;55284042;12267
2019;11;13;3;C;1;1;1;;;;;;;;
2019;11;13;3;C;1;2;1;4224485;391;4348879;391;3650888;329;3765210;329
2019;11;13;3;C;1;3;1;1721698;391;1807913;391;1721698;391;1807909;391
2019;11;13;3;C;1;4;1;;;;;;;;
2019;11;13;3;C;1;5;1;;;;;;;;
2019;11;13;3;C;1;6;1;;;;;;;;
2019;11;13;3;C;1;7;1;10511854;3733;11095845;3742;10938159;4216;11605590;4237
2019;11;13;3;C;1;8;1;;;;;;;;
